Date,Sum
2015-07-01,148672476.0
2015-07-02,149593840.0
2015-07-03,141164198.0
2015-07-04,145612937.0
2015-07-05,151495372.0
2015-07-06,160742234.0
2015-07-07,154147373.0
2015-07-08,148860911.0
2015-07-09,149532135.0
2015-07-10,148374487.0
2015-07-11,145311879.0
2015-07-12,161476064.0
2015-07-13,162094487.0
2015-07-14,162050605.0
2015-07-15,151989235.0
2015-07-16,153778535.0
2015-07-17,151494233.0
2015-07-18,145816963.0
2015-07-19,152532492.0
2015-07-20,157454666.0
2015-07-21,150171972.0
2015-07-22,149541897.0
2015-07-23,144103064.0
2015-07-24,136380422.0
2015-07-25,133951531.0
2015-07-26,143817681.0
2015-07-27,148411035.0
2015-07-28,146099674.0
2015-07-29,161641638.0
2015-07-30,136648822.0
2015-07-31,131697023.0
2015-08-01,127190355.0
2015-08-02,139119487.0
2015-08-03,137409036.0
2015-08-04,151451701.0
2015-08-05,150381812.0
2015-08-06,151661232.0
2015-08-07,151518453.0
2015-08-08,145254353.0
2015-08-09,152239560.0
2015-08-10,150036703.0
2015-08-11,152812232.0
2015-08-12,153955761.0
2015-08-13,153464486.0
2015-08-14,150248544.0
2015-08-15,148954809.0
2015-08-16,158274375.0
2015-08-17,160869797.0
2015-08-18,158093749.0
2015-08-19,151358109.0
2015-08-20,146749726.0
2015-08-21,145025597.0
2015-08-22,144240800.0
2015-08-23,163309505.0
2015-08-24,164491327.0
2015-08-25,164452851.0
2015-08-26,155374496.0
2015-08-27,156413916.0
2015-08-28,149914206.0
2015-08-29,145510774.0
2015-08-30,157754907.0
2015-08-31,166277162.0
2015-09-01,156937034.0
2015-09-02,158601169.0
2015-09-03,157630547.0
2015-09-04,150611885.0
2015-09-05,151151117.0
2015-09-06,162415174.0
2015-09-07,169077653.0
2015-09-08,165248873.0
2015-09-09,162482119.0
2015-09-10,156543705.0
2015-09-11,156699645.0
2015-09-12,150833172.0
2015-09-13,169134067.0
2015-09-14,165657606.0
2015-09-15,158982976.0
2015-09-16,157353694.0
2015-09-17,163342201.0
2015-09-18,154806330.0
2015-09-19,150125990.0
2015-09-20,167435558.0
2015-09-21,176659471.0
2015-09-22,168812357.0
2015-09-23,175807587.0
